id,name,lat,lon,osm_elements,error,min_distance_m,within_threshold,osm_type_compatible
ATAj S12,Sbl Aj 1 [BSTS_ID=30],47.7636338,13.0797386,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATAj S21,Sbl Aj 2 [BSTS_ID=60],47.7507379,13.0843488,29,,5.2,True,True
ATAj S22,Sbl Aj 2 [BSTS_ID=61],47.7500617,13.0843326,23,,1.8,True,True
ATAj S61,Sbl Aj 6 [BSTS_ID=137],47.7234744,13.0883477,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAj S62,Sbl Aj 6 [BSTS_ID=138],47.7197211,13.0889106,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAj S71,Sbl Aj 7 [BSTS_ID=31],47.7104603,13.0921225,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAj S72,Sbl Aj 7 [BSTS_ID=32],47.7098591,13.0922931,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAj U5,Üst Aj 5 [BSTS_ID=33],47.7332361,13.0881232,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAk,Aurachkirchen [BSTS_ID=34],47.9681586,13.7453652,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAk H1,Wankham [BSTS_ID=37],47.9980216,13.7302124,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATAlb,Wien Albern Hafen (in Kls) [BSTS_ID=40],48.1619878,16.4758331,11,,7.2,True,True
ATAll,Allentsteig [BSTS_ID=41],48.7159885,15.3297662,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATAlp,Altpinkafeld [BSTS_ID=42],47.3571353,16.1295611,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATAlp A1,AB - Alp_A1 [BSTS_ID=1256286],47.3534536,16.1326347,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATAlp H1,Hst außer Betrieb (Alp_H1) [BSTS_ID=1501631],47.3392525,16.1487341,5,,6.6,True,True
ATAls,Wien Albern Süd (in Kls) [BSTS_ID=5147137],48.1528794,16.4750931,12,,7.2,True,True
ATAms,Amstetten (in Ams) [BSTS_ID=55],48.121455,14.8788685,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAms A1,AB (Awanst) - Ams_A1 [BSTS_ID=1256347],48.0713377,14.7590055,37,,2.2,True,True
ATAms A2,AB (Awanst) - Ams_A2 [BSTS_ID=56],48.1065367,14.8375832,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAms A3,AB (Awanst) - Ams_A3 [BSTS_ID=57],48.0944071,14.8292863,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAms H1,Mauer-Öhling [BSTS_ID=1240764],48.0951965,14.8016491,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAms H1U,Greinsfurth [BSTS_ID=59],48.1079113,14.8385153,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATAms H2,Aschbach Haltestelle [BSTS_ID=1265643],48.0695462,14.7562172,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATAms H3,Krenstetten-Biberbach [BSTS_ID=5],48.055107,14.6999248,16,,17.8,True,True
ATAms S11,Sbl Ams 1 [BSTS_ID=2599],48.116701,14.8481887,25,,3.6,True,True
ATAms S12,Sbl Ams 1 [BSTS_ID=2600],48.1129402,14.8410561,19,,13.6,True,True
ATAms S31,Sbl Ams 3 [BSTS_ID=1255758],48.0872009,14.7836273,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATAms S32,Sbl Ams 3 [BSTS_ID=1351967],48.0863611,14.7823123,20,,0.8,True,True
ATAms S81,Sbl Ams 12 [BSTS_ID=1256336],48.1021847,14.8200315,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAms S82,Sbl Ams 12 [BSTS_ID=1351974],48.0994158,14.8127485,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAms S83,Sbl Ams 13 [BSTS_ID=2601],48.0871031,14.7838021,28,,0.8,True,True
ATAms S84,Sbl Ams 13 [BSTS_ID=1351980],48.0862585,14.7824826,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAms S85,Sbl Ams 15 [BSTS_ID=1256355],48.0574731,14.718567,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATAms S86,Sbl Ams 15 [BSTS_ID=1351986],48.0573895,14.7179067,20,,5.4,True,True
ATAms S87,Sbl Ams 16 [BSTS_ID=1256359],48.0537938,14.6892741,20,,1.3,True,True
ATAms S88,Sbl Ams 16 [BSTS_ID=1351992],48.0537111,14.6886137,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAms U14,Üst Ams 14 [BSTS_ID=1256343],48.0733977,14.762228,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAms U2,Üst Ams 2 [BSTS_ID=2606],48.1009302,14.816284,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATAms Z1,Abzw Ams 11 [BSTS_ID=63],48.1145698,14.8444833,23,,6.3,True,True
ATAn,St.Andrä im Lavanttal [BSTS_ID=64],46.7628194,14.8416529,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATAnt,Antiesenhofen [BSTS_ID=66],48.3473486,13.402087,21,,2.3,True,True
ATAnt A1,AB - Ant_A1 [BSTS_ID=68],48.429727,13.452272,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAnt H1,Dietrichshofen [BSTS_ID=69],48.3694275,13.4217113,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATAnt H2,Suben [BSTS_ID=70],48.4026083,13.4331139,3,,5.2,True,True
ATAnt H3,Gopperding [BSTS_ID=2240],48.4408424,13.4582664,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAo,St.Anton am Arlberg [BSTS_ID=71],47.1273447,10.2673637,29,,5.4,True,True
ATAo S11,Sbl Ao 1 [BSTS_ID=72],47.1264725,10.2417962,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAo S12,Sbl Ao 1 [BSTS_ID=73],47.1266282,10.2379399,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAo S21,Sbl Ao 2 [BSTS_ID=2567147],47.1281972,10.1997865,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATAo S22,Sbl Ao 2 [BSTS_ID=2567151],47.1283012,10.1971935,3,,44.8,True,True
ATAo S31,Sbl Ao 3 [BSTS_ID=2567155],47.1301042,10.1522443,2,,3361.5,False,True
ATAo S32,Sbl Ao 3 [BSTS_ID=2567159],47.1302014,10.1498092,2,,3546.1,False,True
ATAos,Amstetten Ost (in Ams) [BSTS_ID=5131500],48.1223349,14.8997396,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAp,Aspang [BSTS_ID=75],47.5624453,16.0996579,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAp,Aspang Markt [BSTS_ID=75],47.5624453,16.0996579,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATApo,Abzw Bl 1 [BSTS_ID=77],47.9930724,16.849434,22,,3.9,True,True
ATApo H1,Parndorf Ort/Pandrof mjesto [BSTS_ID=1240762],47.9919162,16.8523366,28,,7.3,True,True
ATApo H1,Parndorf Ort [BSTS_ID=1240762],47.9919162,16.8523366,28,,7.3,True,True
ATAr,Ardning [BSTS_ID=79],47.5906219,14.3589178,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATArb,Arbing [BSTS_ID=80],48.2269974,14.7009614,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATArb H1,Perg Schulzentrum [BSTS_ID=81],48.2424764,14.6406648,7,,5.0,True,True
ATAsd,Aschach a.d.Donau [BSTS_ID=83],48.3633725,14.0143618,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAst,Asten-St Florian [BSTS_ID=86],48.2364335,14.3992633,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAst H1,Linz Pichling [BSTS_ID=87],48.2428335,14.379182,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAst H2,Linz Ebelsberg [BSTS_ID=88],48.2519409,14.346816,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAst Z1,Abzw Ast 1 [BSTS_ID=1399829],48.2485951,14.3612579,13,,23.1,True,True
ATAt,Attnang-Puchheim [BSTS_ID=91],48.0126531,13.7208882,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATAt H1,Lehen-Altensam [BSTS_ID=92],48.0355684,13.7008463,15,,1.1,True,True
ATAt H2,Wolfshütte [BSTS_ID=93],48.0530454,13.6814019,9,,6.3,True,True
ATAt S11,Sbl At 1 [BSTS_ID=94],48.0069785,13.7006749,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATAt S12,Sbl At 1 [BSTS_ID=2650],48.0083331,13.6901729,8,,20.4,True,True
ATAth,Obernberg-Altheim [BSTS_ID=95],48.2702675,13.2592752,18,,11.9,True,True
ATAth H1,Mühlheim [BSTS_ID=96],48.2697126,13.2210471,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAu,Bad Aussee [BSTS_ID=97],47.599061,13.7765244,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAu H1,Obertraun-Koppenbrüllerhöhle [BSTS_ID=98],47.5645176,13.7204382,8,,5.1,True,True
ATAut,Autal [BSTS_ID=1390],47.0543939,15.5277902,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAuz,Ausschlag-Zöbern [BSTS_ID=99],47.5330796,16.0832617,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAw,St.Andrä-Wördern (in Aw) [BSTS_ID=100],48.3338456,16.2089974,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATAw H1,Zeiselmauer-Königstetten [BSTS_ID=109],48.3266026,16.1750717,24,,3.2,True,True
ATAw H2,Muckendorf-Wipfing [BSTS_ID=110],48.3283328,16.1491019,24,,4.2,True,True
ATAw H3,Langenlebarn [BSTS_ID=111],48.3275106,16.1218298,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAw S11,Sbl Aw 1 [BSTS_ID=101],48.3266314,16.1746385,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAw S12,Sbl Aw 1 [BSTS_ID=102],48.3267258,16.173212,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATAw S31,Sbl Aw 3 [BSTS_ID=105],48.327166,16.118508,16,,6.6,True,True
ATAw S32,Sbl Aw 3 [BSTS_ID=106],48.3276936,16.1235922,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATAw S41,Sbl Aw 4 [BSTS_ID=107],48.324952,16.0970911,18,,0.7,True,True
ATAw S42,Sbl Aw 4 [BSTS_ID=108],48.3248235,16.0958496,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATAw U2,Üst Aw 2 [BSTS_ID=1501591],48.328569,16.1455551,11,,2.5,True,True
ATAww,St.Andrä-Wördern Wendegleis (in Aw) [BSTS_ID=5726874],48.3329343,16.2067961,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATAx,Saxen [BSTS_ID=112],48.205213,14.7907376,14,,2.9,True,True
ATB,Bludenz [BSTS_ID=116],47.1549598,9.8144378,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATB G,"Grenze ÖBB-MBS Km 135,650",47.1505926,9.8204803,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATB H1,Nüziders [BSTS_ID=117],47.1714577,9.7926898,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATB S11,Sbl B 1 [BSTS_ID=1400405],47.1702349,9.7955158,19,,4.2,True,True
ATB S12,Sbl B 1 [BSTS_ID=1400409],47.1722737,9.7908007,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATBGT,Baumgarten,47.727765,16.517609,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATBNS,Neusiedl am See Bad,47.9428494,16.8443316,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATBag,Bad Gastein [BSTS_ID=121],47.1118076,13.1319839,18,,6.2,True,True
ATBal,Bad St.Leonhard [BSTS_ID=122],46.965838,14.7868288,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATBal A1,AB (Awanst) - Bal_A1 [BSTS_ID=123],46.946937,14.8126992,13,,12.9,True,True
ATBal A2,AB (Awanst) - Bal_A2 [BSTS_ID=124],46.9428654,14.814545,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATBal H1,Hst außer Betrieb (Bal_H1) [BSTS_ID=125],46.9449247,14.8139811,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATBal K1,Twimberg (Awanst) [BSTS_ID=2274],46.9154822,14.841848,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATBam,Bad Mitterndorf [BSTS_ID=127],47.5505027,13.9438163,17,,1.6,True,True
ATBam H1,Bad Mitterndorf-Heilbrunn [BSTS_ID=128],47.5511365,13.9253217,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATBb,Baumgartenberg [BSTS_ID=130],48.2086785,14.7486094,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATBch,Bichlbach-Berwang [BSTS_ID=139],47.4213578,10.7932517,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATBch H1H,Bichlbach-Almkopfbahn [BSTS_ID=1262120],47.42767,10.776335,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATBch H2H,Heiterwang-Plansee [BSTS_ID=140],47.4422824,10.7484906,5,,1.6,True,True
ATBch H4,Reutte in Tirol Schulzentrum [BSTS_ID=142],47.4897636,10.7249259,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATBde,Bad Deutsch Altenburg [BSTS_ID=143],48.1331613,16.9108452,29,,3.3,True,True
ATBeh,Bernhardsthal (in Bel) [BSTS_ID=145],48.6883478,16.8788649,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATBel,Bernhardsthal Fbf (in Bel) [BSTS_ID=146],48.6773543,16.8836219,10,,2.5,True,True
ATBf,Pfaffstätten [BSTS_ID=148],48.0176024,16.2582901,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATBf H1,Baden [BSTS_ID=149],48.0042824,16.2430849,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATBf S21,Sbl Bf 2 [BSTS_ID=152],47.9883709,16.2260021,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATBf S22,Sbl Bf 2 [BSTS_ID=153],47.9873225,16.2253234,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATBf U1,Üst Bf 1 [BSTS_ID=1257331],47.9990398,16.2371153,14,,2.8,True,True
ATBg,Bregenz (in Bg) [BSTS_ID=154],47.5029728,9.739551,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATBg H1,Bregenz Hafen (in Bg) [BSTS_ID=155],47.506466,9.7487702,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATBgl,St.Martin i.S.-Bergla [BSTS_ID=156],46.7481896,15.2847447,15,,0.3,True,True
ATBgl,St. Martin i. S. - Bergla [BSTS_ID=156],46.7481896,15.2847447,15,,0.3,True,True
ATBgl A1,AB (Awanst) - Bgl_A1 [BSTS_ID=157],46.7383163,15.314341,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATBgl H1,Dietmannsdorf [BSTS_ID=158],46.7443299,15.3127587,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATBgl H1A,Pölfing-Brunn [BSTS_ID=1695],46.7301369,15.3004002,12,,25.1,True,True
ATBgl H2,Wies Markt [BSTS_ID=1696],46.7184934,15.2732917,7,,45.3,True,True
ATBgl S11,Sbl Bgl 1 [BSTS_ID=5960894],46.7308927,15.3032835,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATBgl S12,Sbl Bgl 1 [BSTS_ID=5960897],46.730574,15.3020606,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATBh,Böheimkirchen [BSTS_ID=163],48.1999922,15.7538592,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATBh S11,Sbl Bh 1 [BSTS_ID=165],48.2213525,15.7354029,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATBh S12,Sbl Bh 1 [BSTS_ID=166],48.2215272,15.7343453,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATBib,Bierbaum [BSTS_ID=170],47.0979592,16.0743032,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATBk,Bruck a.d.Mur-Fbf (in Bm) [BSTS_ID=171],47.4245387,15.2793828,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATBl,Bruck a.d.Leitha (in Bl) [BSTS_ID=172],48.0190315,16.7809335,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATBl G,Streckenende 19301,48.0363159,16.7934719,7,,4.5,True,True
ATBle,Bleiburg/Pliberk (in Ble) [BSTS_ID=173],46.5741761,14.7862444,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATBle,Bleiburg (in Ble) [BSTS_ID=173],46.5741761,14.7862444,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATBle A1,AB (Awanst) - Ble_A1 [BSTS_ID=174],46.5901161,14.741002,6,,0.8,True,True
ATBle H1,St.Michael ob Bleiburg/Smihel nad Pliberkom [BSTS_ID=175],46.5823838,14.7507386,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATBle H1,St.Michael ob Bleiburg [BSTS_ID=175],46.5823838,14.7507386,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATBle H2,Mittlern (in Mtl) [BSTS_ID=176],46.5985341,14.716416,18,,19.6,True,True
ATBlg,Bleiburg Stadt/Pliberk mesto (in Ble) [BSTS_ID=388],46.5901563,14.794149,10,,0.1,True,True
ATBlg,Bleiburg Stadt (in Ble) [BSTS_ID=388],46.5901563,14.794149,10,,0.1,True,True
ATBls,Bruck a.d.Leitha-West (in Bl) [BSTS_ID=181],48.020463,16.7605139,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATBls A2,AB - Bls_A2 [BSTS_ID=183],48.0338561,16.7864651,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATBls E1,"EK km 1,605 [BSTS_ID=186]",48.0290629,16.7775644,4,,1.6,True,True
ATBls E2A,"EK km 1,615 [BSTS_ID=5793674]",48.0291187,16.7776699,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATBls E3,"EK km 2,093 [BSTS_ID=4728673]",48.031819,16.7826793,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATBm,Bruck a.d.Mur (in Bm) [BSTS_ID=188],47.4137132,15.2796612,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATBm S11,Sbl Bm 1G [BSTS_ID=1565972],47.3931722,15.3106494,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATBm S12,Sbl Bm 1G [BSTS_ID=1565984],47.3907619,15.3124976,6,,3.3,True,True
ATBm S13,Sbl Bm 1L [BSTS_ID=192],47.4032621,15.2523067,6,,34.0,True,True
ATBm S14,Sbl Bm 1L [BSTS_ID=193],47.4030645,15.2516871,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATBm S21,Sbl Bm 2G [BSTS_ID=1565991],47.3737898,15.3132462,14,,10.9,True,True
ATBm S22,Sbl Bm 2G [BSTS_ID=1565995],47.3735472,15.3145203,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATBm S33,Sbl Bm 3L [BSTS_ID=194],47.4028107,15.1927136,-1,429 Client Error: Too Many Requests for url: https://overpass-api.de/api/interpreter,,,
ATBm S34,Sbl Bm 3L [BSTS_ID=195],47.4024076,15.192098,-1,504 Server Error: Gateway Timeout for url: https://overpass-api.de/api/interpreter,,,
ATBm U2L,Üst Bm 2L [BSTS_ID=196],47.4036439,15.2212079,8,,32.0,True,True
ATBns H1,Weiden am See,47.925725,16.863969,6,,12.4,True,True
